,srazky,rychlost_vetru,max_rychlost_vetru,vlhkost,teplota,tlak,hladina
2020-01-01,0.0,0.9,7.4,78,-0.2,1032.857264,17.87763
2020-01-02,0.0,0.3,1.8,99,-4.6,1029.469955,17.827085
2020-01-03,0.1,0.0,6.9,100,-1.2,1022.193215,17.561905000000003
2020-01-04,1.75,4.7,16.0,71,4.0,1021.971924,17.30951
2020-01-05,0.0,2.6,13.3,70,1.0,1032.023281,17.486175000000003
2020-01-06,0.2,0.5,2.4,95,0.3,1028.307358,17.68816
2020-01-07,0.05,0.6,6.5,99,-0.4,1026.312724,17.561895
2020-01-08,2.4000000000000004,0.4,3.1,98,2.6,1026.140936,17.63764
2020-01-09,1.7,0.0,1.9,100,4.2,1019.422802,17.4988
2020-01-10,0.15,1.1,14.0,87,7.1,1016.181753,17.2464
2020-01-11,0.0,1.5,12.9,82,1.5,1029.400128,17.62502
2020-01-12,0.0,1.2,6.5,89,0.6,1024.728483,17.688164999999998
2020-01-13,0.05,0.0,4.6,92,2.2,1021.630903,17.66288
2020-01-14,0.0,0.1,2.8,97,1.7,1017.803462,17.80207
2020-01-15,0.0,0.0,3.1,91,-0.7,1022.429194,19.206384999999997
2020-01-16,0.0,0.6,2.3,95,-1.3,1029.868285,19.561425
2020-01-17,0.05,0.0,3.3,100,-0.3,1022.523372,19.86599
2020-01-18,0.2,0.0,2.3,99,1.5,1024.051434,19.49798
2020-01-19,0.0,0.9,6.8,88,2.0,1032.549323,19.510675
2020-01-20,0.0,0.5,5.8,78,0.5,1043.804153,20.0438
2020-01-21,0.0,0.3,3.5,91,-2.7,1040.677017,20.615675
2020-01-22,0.0,1.3,8.8,85,1.6,1032.738969,20.488525
2020-01-23,0.0,1.1,4.4,83,-0.7,1031.50874,20.15809
2020-01-24,0.0,0.8,3.9,87,-0.8,1024.375111,19.82792
2020-01-25,0.0,0.4,3.1,91,-1.0,1021.92367,19.536025000000002
2020-01-26,0.15,0.1,2.6,97,-0.9,1020.567153,19.536025000000002
2020-01-27,0.65,0.0,2.1,100,1.0,1013.900497,19.53603
2020-01-28,5.8,1.9,14.7,91,3.1,998.9605243,19.168374999999997
2020-01-29,0.05,4.5,11.3,73,3.3,1005.522181,19.00359
2020-01-30,0.0,3.2,12.0,72,4.9,1010.545083,19.409215
2020-01-31,0.0,4.4,14.6,64,13.1,1006.399083,19.586785
2020-02-01,0.55,4.2,12.1,71,12.0,1005.101177,19.77712
2020-02-02,7.0,3.6,17.7,76,9.4,1007.167205,19.840615
2020-02-03,14.3,3.4,18.0,76,8.9,1008.311122,19.86602
2020-02-04,4.05,4.3,17.6,77,4.1,1005.703225,19.87869
2020-02-05,0.6000000000000001,3.0,15.9,73,2.0,1026.962493,19.878705
2020-02-06,0.05,4.4,12.5,71,3.3,1031.894087,20.38682
2020-02-07,0.0,1.2,8.1,81,4.3,1031.107701,20.24701
2020-02-08,0.0,0.5,4.1,92,-1.2,1029.509257,19.739134999999997
